timestamp,open,high,low,close,volume
2024-11-27,0.17964,0.40303,0.17192,0.17192,208697.37
2024-11-28,0.17192,0.216,0.1285,0.15859,122675.21
2024-11-29,0.15812,0.43207,0.10081,0.37222,153170.07
2024-11-30,0.37154,1.0629,0.37154,0.69143,124133.58
2024-12-01,0.68937,0.91578,0.54444,0.67107,83301.87
2024-12-02,0.67107,1.0061,0.51748,0.86779,74266.24
2024-12-03,0.8652,3.5551,0.85491,2.9214,174005.82
2024-12-04,2.9127,4.1653,2.0201,2.9829,81249.99
2024-12-05,2.9829,3.1286,2.0003,2.5933,60320.31
2024-12-06,2.5856,3.4,2.4654,3.185,25611.31
2024-12-07,3.185,3.8429,2.323,2.7036,61560.3
2024-12-08,2.6956,3.1222,2.2348,2.9476,29662.96
2024-12-09,2.9476,2.9652,1.7005,1.9785,33662.45
2024-12-10,1.9726,2.4002,1.7518,1.8479,16267.93
2024-12-11,1.8424,2.3718,1.6314,1.7939,38456.21
2024-12-12,1.7939,2.0081,1.5556,1.7833,28685.13
2024-12-13,1.778,3.1379,1.4363,2.1693,75019.47
2024-12-14,2.1629,4.1133,2.1247,3.0007,150518.1
2024-12-15,2.9918,5.2727,2.4563,3.9123,98100.33
2024-12-16,3.9123,4.3042,3.2232,3.4314,70408.31
2024-12-17,3.4263,3.9357,3.0007,3.9357,26975.0
