timestamp,open,high,low,close,volume
2024-07-02,0.0005,0.000571,7e-06,2e-05,149234089.38
2024-07-03,2e-05,4e-05,1.8e-05,2.3e-05,97738243.35
2024-07-04,2.3e-05,3.3e-05,1.6e-05,3e-05,16221741.33
2024-07-05,1.7e-05,3.2e-05,1.5e-05,2.5e-05,56714108.12
2024-07-06,2.5e-05,4.8e-05,2.2e-05,3.3e-05,45998410.59
2024-07-07,3.3e-05,4.3e-05,2.2e-05,2.2e-05,17163444.0
2024-07-08,2.2e-05,3.8e-05,2.2e-05,3.6e-05,17085216.73
2024-07-09,3.1e-05,3.5e-05,2.2e-05,2.5e-05,35398282.68
2024-07-10,2.5e-05,4.8e-05,2.2e-05,3.3e-05,97910370.53
2024-07-11,3.4e-05,4.6e-05,3.3e-05,4e-05,20129193.58
2024-07-12,4.6e-05,4.8e-05,3.3e-05,3.4e-05,25270846.38
2024-07-13,3.4e-05,4.3e-05,2.7e-05,3.9e-05,74822888.35
2024-07-14,3.9e-05,4.2e-05,3.2e-05,3.6e-05,53193621.3
2024-07-15,3.9e-05,4.4e-05,3e-05,3e-05,46978812.41
2024-07-16,3.2e-05,4.2e-05,2.9e-05,3.9e-05,27420229.81
2024-07-17,3.9e-05,4.8e-05,3.1e-05,3.1e-05,89399668.87
2024-07-18,3.6e-05,4.7e-05,3.6e-05,3.9e-05,16367242.5
2024-07-19,4.5e-05,4.5e-05,3.5e-05,3.5e-05,7723164.84
2024-07-20,3.5e-05,3.9e-05,3.2e-05,3.2e-05,8599349.7
2024-07-21,3.3e-05,4.4e-05,3.2e-05,3.2e-05,3031192.88
2024-07-22,3.2e-05,4.8e-05,2.8e-05,2.8e-05,18090414.12
2024-07-23,2.8e-05,3.4e-05,2.7e-05,2.7e-05,8140351.92
2024-07-24,2.7e-05,2.7e-05,1.1e-05,1.2e-05,56386084.91
2024-07-25,1.2e-05,4.8e-05,8e-06,4.5e-05,37136217.43
2024-07-26,3.5e-05,4.6e-05,3.2e-05,3.7e-05,6937625.38
2024-07-27,3.7e-05,3.7e-05,2.6e-05,2.6e-05,2488689.22
2024-07-28,2.6e-05,4.6e-05,2.6e-05,4.5e-05,6938191.0
2024-07-29,4.5e-05,4.5e-05,2.3e-05,2.3e-05,9491657.68
2024-07-30,2.3e-05,3.4e-05,2.3e-05,3.4e-05,110020.43
2024-07-31,3.4e-05,3.4e-05,3.4e-05,3.4e-05,0.0
2024-08-01,2.3e-05,2.3e-05,2.3e-05,2.3e-05,1178116.15
2024-08-02,2.3e-05,2.3e-05,2.3e-05,2.3e-05,740000.01
2024-08-03,2.3e-05,2.3e-05,2.1e-05,2.1e-05,5361822.95
2024-08-04,2.1e-05,2.1e-05,2.1e-05,2.1e-05,553009.59
2024-08-05,2.1e-05,2.1e-05,7e-06,7e-06,4116335.57
2024-08-06,7e-06,7e-06,7e-06,7e-06,0.0
2024-08-07,8e-06,8e-06,8e-06,8e-06,7564419.62
2024-08-08,8e-06,8e-06,8e-06,8e-06,0.0
2024-08-09,8e-06,8e-06,8e-06,8e-06,0.0
2024-08-10,8e-06,8e-06,8e-06,8e-06,1499850.01
2024-08-11,8e-06,8e-06,8e-06,8e-06,1103112.74
2024-08-12,1.3e-05,1.3e-05,7e-06,7e-06,3146059.13
2024-08-13,7e-06,7e-06,6e-06,6e-06,13822421.32
2024-08-14,1.2e-05,1.9e-05,1.2e-05,1.9e-05,13402992.76
2024-08-15,7e-06,7e-06,7e-06,7e-06,348.1
2024-08-16,8e-06,1.9e-05,8e-06,1.9e-05,2695489.73
2024-08-17,1.9e-05,1.9e-05,1.9e-05,1.9e-05,199595.21
2024-08-18,8e-06,8e-06,8e-06,8e-06,60004.9
2024-08-19,9e-06,9e-06,9e-06,9e-06,477099.78
2024-08-20,9e-06,9e-06,9e-06,9e-06,0.0
2024-08-21,9e-06,9e-06,9e-06,9e-06,0.0
2024-08-22,2e-05,2e-05,1.1e-05,1.1e-05,2239999.99
2024-08-23,1.3e-05,1.3e-05,1.3e-05,1.3e-05,346.23
2024-08-24,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1276237.5
2024-08-25,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0
2024-08-26,1.2e-05,1.2e-05,1.2e-05,1.2e-05,1814621.11
2024-08-27,1.1e-05,1.1e-05,9e-06,9e-06,7159914.4
2024-08-28,7e-06,7e-06,7e-06,7e-06,12462194.6
2024-08-29,7e-06,7e-06,7e-06,7e-06,0.0
2024-08-30,7e-06,7e-06,6e-06,6e-06,2226684.83
2024-08-31,6e-06,6e-06,6e-06,6e-06,277125.22
2024-09-01,6e-06,6e-06,2e-06,2e-06,9570951.04
2024-09-02,2e-06,2e-06,2e-06,2e-06,0.0
2024-09-03,2e-06,2e-06,2e-06,2e-06,0.0
2024-09-04,2e-06,2e-06,2e-06,2e-06,0.0
2024-09-05,2e-06,2e-06,2e-06,2e-06,0.0
2024-09-06,2e-06,2e-06,2e-06,2e-06,0.0
2024-09-07,2e-06,2e-06,2e-06,2e-06,0.0
2024-09-08,2e-06,2e-06,2e-06,2e-06,0.0
2024-09-09,2e-06,2e-06,2e-06,2e-06,0.0
2024-09-10,2e-06,2e-06,2e-06,2e-06,0.0
2024-09-11,2e-06,2e-06,2e-06,2e-06,0.0
2024-09-12,2e-06,2e-06,2e-06,2e-06,0.0
2024-09-13,2e-06,2e-06,2e-06,2e-06,0.0
2024-09-14,2e-06,2e-06,2e-06,2e-06,0.0
2024-09-15,2e-06,2e-06,2e-06,2e-06,0.0
2024-09-16,2e-06,2e-06,2e-06,2e-06,0.0
2024-09-17,3e-06,3e-06,2e-06,2e-06,11730478.4
2024-09-18,2e-06,2e-06,2e-06,2e-06,0.0
2024-09-19,8e-06,1.2e-05,8e-06,1.2e-05,14418224.66
2024-09-20,9e-06,9e-06,9e-06,9e-06,1135548.18
2024-09-21,3e-06,3e-06,3e-06,3e-06,619157.44
2024-09-22,1.2e-05,1.2e-05,1.2e-05,1.2e-05,12341567.13
2024-09-23,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0
2024-09-24,1.2e-05,1.2e-05,1.2e-05,1.2e-05,0.0
2024-09-25,4e-06,4e-06,4e-06,4e-06,4042999.99
